({'Class Name: democrat', 'handicapped-infants: yes'}, {'adoption-of-the-budget-resolution: yes'}, 'confidence: 0.9102564102564102')
({'Class Name: republican', 'crime: yes'}, {'el-salvador-aid: yes'}, 'confidence: 0.9430379746835443')
({'handicapped-infants: no', 'el-salvador-aid: yes'}, {'crime: yes'}, 'confidence: 0.9235668789808917')
({'el-salvador-aid: yes', 'adoption-of-the-budget-resolution: no'}, {'crime: yes'}, 'confidence: 0.954248366013072')
({'crime: yes', 'adoption-of-the-budget-resolution: no'}, {'el-salvador-aid: yes'}, 'confidence: 0.9240506329113924')
({'el-salvador-aid: yes', 'anti-satellite-test-ban: no'}, {'crime: yes'}, 'confidence: 0.9259259259259259')
({'crime: yes', 'anti-satellite-test-ban: no'}, {'el-salvador-aid: yes'}, 'confidence: 0.9554140127388535')
({'aid-to-nicaraguan-contras: no', 'el-salvador-aid: yes'}, {'crime: yes'}, 'confidence: 0.9534883720930233')
({'aid-to-nicaraguan-contras: no', 'crime: yes'}, {'el-salvador-aid: yes'}, 'confidence: 0.9879518072289156')
({'el-salvador-aid: yes', 'mx-missile: no'}, {'crime: yes'}, 'confidence: 0.9130434782608695')
({'mx-missile: no', 'crime: yes'}, {'el-salvador-aid: yes'}, 'confidence: 0.9545454545454546')
({'el-salvador-aid: yes', 'synfuels-corporation-cutback: no'}, {'crime: yes'}, 'confidence: 0.9517241379310345')
({'duty-free-exports: no', 'el-salvador-aid: yes'}, {'crime: yes'}, 'confidence: 0.9473684210526315')
({'el-salvador-aid: yes', 'adoption-of-the-budget-resolution: no'}, {'Class Name: republican'}, 'confidence: 0.9019607843137255')
({'Class Name: republican', 'adoption-of-the-budget-resolution: no'}, {'el-salvador-aid: yes'}, 'confidence: 0.971830985915493')
({'aid-to-nicaraguan-contras: no', 'Class Name: republican'}, {'el-salvador-aid: yes'}, 'confidence: 0.9924812030075187')
({'el-salvador-aid: yes', 'Class Name: republican'}, {'mx-missile: no'}, 'confidence: 0.9235668789808917')
({'mx-missile: no', 'Class Name: republican'}, {'el-salvador-aid: yes'}, 'confidence: 0.9931506849315068')
({'duty-free-exports: no', 'Class Name: republican'}, {'el-salvador-aid: yes'}, 'confidence: 0.9507042253521126')
({'aid-to-nicaraguan-contras: no', 'handicapped-infants: no'}, {'el-salvador-aid: yes'}, 'confidence: 0.9782608695652174')
({'handicapped-infants: no', 'el-salvador-aid: yes'}, {'mx-missile: no'}, 'confidence: 0.9044585987261147')
({'handicapped-infants: no', 'mx-missile: no'}, {'el-salvador-aid: yes'}, 'confidence: 0.9403973509933775')
({'aid-to-nicaraguan-contras: no', 'adoption-of-the-budget-resolution: no'}, {'el-salvador-aid: yes'}, 'confidence: 0.9785714285714285')
({'el-salvador-aid: yes', 'adoption-of-the-budget-resolution: no'}, {'mx-missile: no'}, 'confidence: 0.9411764705882353')
({'mx-missile: no', 'adoption-of-the-budget-resolution: no'}, {'el-salvador-aid: yes'}, 'confidence: 0.9863013698630136')
({'duty-free-exports: no', 'adoption-of-the-budget-resolution: no'}, {'el-salvador-aid: yes'}, 'confidence: 0.95')
({'el-salvador-aid: yes', 'anti-satellite-test-ban: no'}, {'aid-to-nicaraguan-contras: no'}, 'confidence: 0.9012345679012346')
({'aid-to-nicaraguan-contras: no', 'anti-satellite-test-ban: no'}, {'el-salvador-aid: yes'}, 'confidence: 0.9798657718120806')
({'el-salvador-aid: yes', 'anti-satellite-test-ban: no'}, {'mx-missile: no'}, 'confidence: 0.9259259259259259')
({'mx-missile: no', 'anti-satellite-test-ban: no'}, {'el-salvador-aid: yes'}, 'confidence: 0.9615384615384616')
({'duty-free-exports: no', 'anti-satellite-test-ban: no'}, {'el-salvador-aid: yes'}, 'confidence: 0.9463087248322147')
({'aid-to-nicaraguan-contras: no', 'el-salvador-aid: yes'}, {'mx-missile: no'}, 'confidence: 0.9186046511627907')
({'aid-to-nicaraguan-contras: no', 'mx-missile: no'}, {'el-salvador-aid: yes'}, 'confidence: 0.9753086419753086')
({'duty-free-exports: no', 'aid-to-nicaraguan-contras: no'}, {'el-salvador-aid: yes'}, 'confidence: 0.9736842105263158')
({'duty-free-exports: no', 'mx-missile: no'}, {'el-salvador-aid: yes'}, 'confidence: 0.9320987654320988')
({'superfund-right-to-sue: yes', 'education-spending: yes'}, {'religious-groups-in-schools: yes'}, 'confidence: 0.9496402877697842')
({'religious-groups-in-schools: yes', 'education-spending: yes'}, {'crime: yes'}, 'confidence: 0.9308176100628931')
({'crime: yes', 'education-spending: yes'}, {'religious-groups-in-schools: yes'}, 'confidence: 0.9367088607594937')
({'mx-missile: no', 'education-spending: yes'}, {'religious-groups-in-schools: yes'}, 'confidence: 0.9574468085106383')
({'duty-free-exports: no', 'education-spending: yes'}, {'religious-groups-in-schools: yes'}, 'confidence: 0.9513888888888888')
({'crime: yes', 'superfund-right-to-sue: yes'}, {'religious-groups-in-schools: yes'}, 'confidence: 0.9378531073446328')
({'handicapped-infants: no', 'superfund-right-to-sue: yes'}, {'religious-groups-in-schools: yes'}, 'confidence: 0.9266666666666666')
({'superfund-right-to-sue: yes', 'anti-satellite-test-ban: no'}, {'religious-groups-in-schools: yes'}, 'confidence: 0.9727891156462585')
({'aid-to-nicaraguan-contras: no', 'superfund-right-to-sue: yes'}, {'religious-groups-in-schools: yes'}, 'confidence: 0.9530201342281879')
({'mx-missile: no', 'superfund-right-to-sue: yes'}, {'religious-groups-in-schools: yes'}, 'confidence: 0.9551282051282052')
({'duty-free-exports: no', 'superfund-right-to-sue: yes'}, {'religious-groups-in-schools: yes'}, 'confidence: 0.9333333333333333')
({'religious-groups-in-schools: yes', 'Class Name: republican'}, {'crime: yes'}, 'confidence: 0.9395973154362416')
({'religious-groups-in-schools: yes', 'adoption-of-the-budget-resolution: no'}, {'crime: yes'}, 'confidence: 0.9403973509933775')
({'crime: yes', 'anti-satellite-test-ban: no'}, {'religious-groups-in-schools: yes'}, 'confidence: 0.9490445859872612')
({'religious-groups-in-schools: yes', 'aid-to-nicaraguan-contras: no'}, {'crime: yes'}, 'confidence: 0.9397590361445783')
({'aid-to-nicaraguan-contras: no', 'crime: yes'}, {'religious-groups-in-schools: yes'}, 'confidence: 0.9397590361445783')
({'mx-missile: no', 'crime: yes'}, {'religious-groups-in-schools: yes'}, 'confidence: 0.9431818181818182')
({'duty-free-exports: no', 'crime: yes'}, {'religious-groups-in-schools: yes'}, 'confidence: 0.9042553191489362')
({'religious-groups-in-schools: yes', 'Class Name: republican'}, {'mx-missile: no'}, 'confidence: 0.9261744966442953')
({'mx-missile: no', 'Class Name: republican'}, {'religious-groups-in-schools: yes'}, 'confidence: 0.9452054794520548')
({'handicapped-infants: no', 'anti-satellite-test-ban: no'}, {'religious-groups-in-schools: yes'}, 'confidence: 0.9492753623188406')
({'aid-to-nicaraguan-contras: no', 'handicapped-infants: no'}, {'religious-groups-in-schools: yes'}, 'confidence: 0.9492753623188406')
({'handicapped-infants: no', 'mx-missile: no'}, {'religious-groups-in-schools: yes'}, 'confidence: 0.9403973509933775')
({'duty-free-exports: no', 'handicapped-infants: no'}, {'religious-groups-in-schools: yes'}, 'confidence: 0.9383561643835616')
({'aid-to-nicaraguan-contras: no', 'adoption-of-the-budget-resolution: no'}, {'religious-groups-in-schools: yes'}, 'confidence: 0.9428571428571428')
({'religious-groups-in-schools: yes', 'adoption-of-the-budget-resolution: no'}, {'mx-missile: no'}, 'confidence: 0.9139072847682119')
({'mx-missile: no', 'adoption-of-the-budget-resolution: no'}, {'religious-groups-in-schools: yes'}, 'confidence: 0.9452054794520548')
({'aid-to-nicaraguan-contras: no', 'anti-satellite-test-ban: no'}, {'religious-groups-in-schools: yes'}, 'confidence: 0.959731543624161')
({'mx-missile: no', 'anti-satellite-test-ban: no'}, {'religious-groups-in-schools: yes'}, 'confidence: 0.9551282051282052')
({'duty-free-exports: no', 'anti-satellite-test-ban: no'}, {'religious-groups-in-schools: yes'}, 'confidence: 0.9664429530201343')
({'religious-groups-in-schools: yes', 'aid-to-nicaraguan-contras: no'}, {'mx-missile: no'}, 'confidence: 0.9216867469879518')
({'aid-to-nicaraguan-contras: no', 'mx-missile: no'}, {'religious-groups-in-schools: yes'}, 'confidence: 0.9444444444444444')
({'duty-free-exports: no', 'aid-to-nicaraguan-contras: no'}, {'religious-groups-in-schools: yes'}, 'confidence: 0.9473684210526315')
({'duty-free-exports: no', 'mx-missile: no'}, {'religious-groups-in-schools: yes'}, 'confidence: 0.9444444444444444')
({'mx-missile: yes', 'anti-satellite-test-ban: yes'}, {'aid-to-nicaraguan-contras: yes'}, 'confidence: 0.9505494505494505')
({'aid-to-nicaraguan-contras: yes', 'mx-missile: yes'}, {'anti-satellite-test-ban: yes'}, 'confidence: 0.9010416666666666')
({'duty-free-exports: yes', 'anti-satellite-test-ban: yes'}, {'aid-to-nicaraguan-contras: yes'}, 'confidence: 0.9310344827586207')
({'anti-satellite-test-ban: yes', 'physician-fee-freeze: no'}, {'aid-to-nicaraguan-contras: yes'}, 'confidence: 0.9390862944162437')
({'el-salvador-aid: no', 'anti-satellite-test-ban: yes'}, {'aid-to-nicaraguan-contras: yes'}, 'confidence: 0.9787234042553191')
({'aid-to-nicaraguan-contras: yes', 'el-salvador-aid: no'}, {'anti-satellite-test-ban: yes'}, 'confidence: 0.9019607843137255')
({'anti-satellite-test-ban: yes', 'religious-groups-in-schools: no'}, {'aid-to-nicaraguan-contras: yes'}, 'confidence: 0.9640287769784173')
({'aid-to-nicaraguan-contras: yes', 'religious-groups-in-schools: no'}, {'anti-satellite-test-ban: yes'}, 'confidence: 0.9436619718309859')
({'anti-satellite-test-ban: yes', 'education-spending: no'}, {'aid-to-nicaraguan-contras: yes'}, 'confidence: 0.9239130434782609')
({'superfund-right-to-sue: no', 'anti-satellite-test-ban: yes'}, {'aid-to-nicaraguan-contras: yes'}, 'confidence: 0.9411764705882353')
({'superfund-right-to-sue: no', 'aid-to-nicaraguan-contras: yes'}, {'anti-satellite-test-ban: yes'}, 'confidence: 0.9090909090909091')
({'crime: no', 'anti-satellite-test-ban: yes'}, {'aid-to-nicaraguan-contras: yes'}, 'confidence: 0.972972972972973')
({'aid-to-nicaraguan-contras: yes', 'crime: no'}, {'anti-satellite-test-ban: yes'}, 'confidence: 0.9')
({'mx-missile: yes', 'physician-fee-freeze: no'}, {'anti-satellite-test-ban: yes'}, 'confidence: 0.9055555555555556')
({'mx-missile: yes', 'anti-satellite-test-ban: yes'}, {'el-salvador-aid: no'}, 'confidence: 0.9010989010989011')
({'mx-missile: yes', 'el-salvador-aid: no'}, {'anti-satellite-test-ban: yes'}, 'confidence: 0.9162011173184358')
({'superfund-right-to-sue: no', 'mx-missile: yes'}, {'anti-satellite-test-ban: yes'}, 'confidence: 0.9328859060402684')
({'duty-free-exports: yes', 'anti-satellite-test-ban: yes'}, {'physician-fee-freeze: no'}, 'confidence: 0.9241379310344827')
({'el-salvador-aid: no', 'export-administration-act-south-africa: yes'}, {'anti-satellite-test-ban: yes'}, 'confidence: 0.9103448275862069')
({'anti-satellite-test-ban: yes', 'physician-fee-freeze: no'}, {'el-salvador-aid: no'}, 'confidence: 0.9035532994923858')
({'el-salvador-aid: no', 'anti-satellite-test-ban: yes'}, {'physician-fee-freeze: no'}, 'confidence: 0.9468085106382979')
({'el-salvador-aid: no', 'physician-fee-freeze: no'}, {'anti-satellite-test-ban: yes'}, 'confidence: 0.9128205128205128')
({'anti-satellite-test-ban: yes', 'education-spending: no'}, {'physician-fee-freeze: no'}, 'confidence: 0.9130434782608695')
({'superfund-right-to-sue: no', 'anti-satellite-test-ban: yes'}, {'physician-fee-freeze: no'}, 'confidence: 0.9294117647058824')
({'crime: no', 'anti-satellite-test-ban: yes'}, {'physician-fee-freeze: no'}, 'confidence: 0.9864864864864865')
({'el-salvador-aid: no', 'education-spending: no'}, {'anti-satellite-test-ban: yes'}, 'confidence: 0.9209039548022598')
({'superfund-right-to-sue: no', 'el-salvador-aid: no'}, {'anti-satellite-test-ban: yes'}, 'confidence: 0.9263803680981595')
({'crime: no', 'anti-satellite-test-ban: yes'}, {'el-salvador-aid: no'}, 'confidence: 0.9527027027027027')
({'el-salvador-aid: no', 'crime: no'}, {'anti-satellite-test-ban: yes'}, 'confidence: 0.9215686274509803')
({'mx-missile: yes', 'export-administration-act-south-africa: yes'}, {'aid-to-nicaraguan-contras: yes'}, 'confidence: 0.9256756756756757')
({'aid-to-nicaraguan-contras: yes', 'mx-missile: yes'}, {'physician-fee-freeze: no'}, 'confidence: 0.90625')
({'mx-missile: yes', 'physician-fee-freeze: no'}, {'aid-to-nicaraguan-contras: yes'}, 'confidence: 0.9666666666666667')
({'aid-to-nicaraguan-contras: yes', 'mx-missile: yes'}, {'el-salvador-aid: no'}, 'confidence: 0.9114583333333334')
({'mx-missile: yes', 'el-salvador-aid: no'}, {'aid-to-nicaraguan-contras: yes'}, 'confidence: 0.9776536312849162')
({'mx-missile: yes', 'education-spending: no'}, {'aid-to-nicaraguan-contras: yes'}, 'confidence: 0.9473684210526315')
({'superfund-right-to-sue: no', 'mx-missile: yes'}, {'aid-to-nicaraguan-contras: yes'}, 'confidence: 0.9731543624161074')
({'mx-missile: yes', 'crime: no'}, {'aid-to-nicaraguan-contras: yes'}, 'confidence: 0.9781021897810219')
({'aid-to-nicaraguan-contras: yes', 'duty-free-exports: yes'}, {'physician-fee-freeze: no'}, 'confidence: 0.9403973509933775')
({'duty-free-exports: yes', 'physician-fee-freeze: no'}, {'aid-to-nicaraguan-contras: yes'}, 'confidence: 0.9161290322580645')
({'aid-to-nicaraguan-contras: yes', 'duty-free-exports: yes'}, {'el-salvador-aid: no'}, 'confidence: 0.9139072847682119')
({'duty-free-exports: yes', 'el-salvador-aid: no'}, {'aid-to-nicaraguan-contras: yes'}, 'confidence: 0.9787234042553191')
({'el-salvador-aid: no', 'export-administration-act-south-africa: yes'}, {'aid-to-nicaraguan-contras: yes'}, 'confidence: 0.9724137931034482')
({'aid-to-nicaraguan-contras: yes', 'physician-fee-freeze: no'}, {'el-salvador-aid: no'}, 'confidence: 0.909952606635071')
({'aid-to-nicaraguan-contras: yes', 'el-salvador-aid: no'}, {'physician-fee-freeze: no'}, 'confidence: 0.9411764705882353')
({'el-salvador-aid: no', 'physician-fee-freeze: no'}, {'aid-to-nicaraguan-contras: yes'}, 'confidence: 0.9846153846153847')
({'aid-to-nicaraguan-contras: yes', 'religious-groups-in-schools: no'}, {'physician-fee-freeze: no'}, 'confidence: 0.9366197183098591')
({'physician-fee-freeze: no', 'religious-groups-in-schools: no'}, {'aid-to-nicaraguan-contras: yes'}, 'confidence: 0.9925373134328358')
({'aid-to-nicaraguan-contras: yes', 'education-spending: no'}, {'physician-fee-freeze: no'}, 'confidence: 0.9329896907216495')
({'superfund-right-to-sue: no', 'aid-to-nicaraguan-contras: yes'}, {'physician-fee-freeze: no'}, 'confidence: 0.9431818181818182')
({'superfund-right-to-sue: no', 'physician-fee-freeze: no'}, {'aid-to-nicaraguan-contras: yes'}, 'confidence: 0.9325842696629213')
({'aid-to-nicaraguan-contras: yes', 'crime: no'}, {'physician-fee-freeze: no'}, 'confidence: 0.975')
({'crime: no', 'physician-fee-freeze: no'}, {'aid-to-nicaraguan-contras: yes'}, 'confidence: 0.9570552147239264')
({'aid-to-nicaraguan-contras: yes', 'religious-groups-in-schools: no'}, {'el-salvador-aid: no'}, 'confidence: 0.9577464788732394')
({'el-salvador-aid: no', 'religious-groups-in-schools: no'}, {'aid-to-nicaraguan-contras: yes'}, 'confidence: 0.9927007299270073')
({'el-salvador-aid: no', 'education-spending: no'}, {'aid-to-nicaraguan-contras: yes'}, 'confidence: 0.9830508474576272')
({'superfund-right-to-sue: no', 'aid-to-nicaraguan-contras: yes'}, {'el-salvador-aid: no'}, 'confidence: 0.9090909090909091')
({'superfund-right-to-sue: no', 'el-salvador-aid: no'}, {'aid-to-nicaraguan-contras: yes'}, 'confidence: 0.9815950920245399')
({'aid-to-nicaraguan-contras: yes', 'crime: no'}, {'el-salvador-aid: no'}, 'confidence: 0.9375')
({'el-salvador-aid: no', 'crime: no'}, {'aid-to-nicaraguan-contras: yes'}, 'confidence: 0.9803921568627451')
({'superfund-right-to-sue: no', 'education-spending: no'}, {'aid-to-nicaraguan-contras: yes'}, 'confidence: 0.9202453987730062')
({'crime: no', 'education-spending: no'}, {'aid-to-nicaraguan-contras: yes'}, 'confidence: 0.9403973509933775')
({'superfund-right-to-sue: no', 'crime: no'}, {'aid-to-nicaraguan-contras: yes'}, 'confidence: 0.9632352941176471')
({'mx-missile: yes', 'physician-fee-freeze: no'}, {'el-salvador-aid: no'}, 'confidence: 0.9277777777777778')
({'mx-missile: yes', 'el-salvador-aid: no'}, {'physician-fee-freeze: no'}, 'confidence: 0.9329608938547486')
({'mx-missile: yes', 'education-spending: no'}, {'physician-fee-freeze: no'}, 'confidence: 0.9298245614035088')
({'superfund-right-to-sue: no', 'mx-missile: yes'}, {'physician-fee-freeze: no'}, 'confidence: 0.959731543624161')
({'mx-missile: yes', 'crime: no'}, {'physician-fee-freeze: no'}, 'confidence: 0.9781021897810219')
({'mx-missile: yes', 'education-spending: no'}, {'el-salvador-aid: no'}, 'confidence: 0.9181286549707602')
({'superfund-right-to-sue: no', 'mx-missile: yes'}, {'el-salvador-aid: no'}, 'confidence: 0.9395973154362416')
({'mx-missile: yes', 'crime: no'}, {'el-salvador-aid: no'}, 'confidence: 0.9708029197080292')
({'superfund-right-to-sue: yes', 'education-spending: yes'}, {'crime: yes'}, 'confidence: 0.9568345323741008')
({'mx-missile: no', 'education-spending: yes'}, {'crime: yes'}, 'confidence: 0.9574468085106383')
({'duty-free-exports: no', 'education-spending: yes'}, {'crime: yes'}, 'confidence: 0.9375')
({'handicapped-infants: no', 'superfund-right-to-sue: yes'}, {'crime: yes'}, 'confidence: 0.9')
({'superfund-right-to-sue: yes', 'anti-satellite-test-ban: no'}, {'crime: yes'}, 'confidence: 0.9319727891156463')
({'aid-to-nicaraguan-contras: no', 'superfund-right-to-sue: yes'}, {'crime: yes'}, 'confidence: 0.9530201342281879')
({'mx-missile: no', 'superfund-right-to-sue: yes'}, {'crime: yes'}, 'confidence: 0.9294871794871795')
({'duty-free-exports: no', 'superfund-right-to-sue: yes'}, {'crime: yes'}, 'confidence: 0.9212121212121213')
